lake,ecotype,group,id,sex,group.loc.sex,mass,length,ventricle.mg,liver.g,per.red.muscle,WMprotein20x,COX.wm,COX.wm.prot,CS.wm,CS.wm.prot,MDH.wm,MDH.wm.prot,CPK.wm,CPK.wm.prot,PGI.wm,PGI.wm.prot,PFK.wm,PFK.wm.prot,TPI.wm,TPI.wm.prot,PK.wm,PK.wm.prot,LDH.wm,LDH.wm.prot,WMprotein10x,ActiveGPase,ActiveGPase.protein,TotalGPase,TotalGPase.protein,ActiveGSase,ActiveGSase.protein,TotalGSase,TotalGSase.protein,GPDH,GPDH.protein,ProteinLiv.20x,COX.liv,COX.liv.prot,HOAD.liv,HOAD.liv.prot,CS.liv,CS.liv.prot,MDH.liv,MDH.liv.prot,CPK.liv,CPK.liv.prot,PGI.liv,PGI.liv.prot,PFK.liv,PFK.liv.prot,TPI.liv,TPI.liv.prot,ADL.liv,ADL.liv.prot,GAPDH.liv,GAPDH.liv.prot,PK.liv,PK.liv.prot,LDH.liv,LDH.liv.prot,Notes.SampleQuality,Notes.EcotypeClassification,Notes.other,Labels.Notes
cliff,dwarf,cd,CD7,M,cd-male,153.4,24.9,90,1.1,3.237,78,1.43,0.018333333,1.675367647,0.021479072,23.22025723,0.297695606,931.6184352,11.94382609,185.1125402,2.373237695,28.14576635,0.360843158,3253.217578,41.70791767,321.4433726,4.121068879,217.8778135,2.793305301,110.8,5.95,0.053700361,17.22,0.155415162,0.03,0.000270758,1.62,0.014620939,16.9,0.152527076,173.88,5.92,0.034046469,1.71,0.0099,4.07,0.0234,128.72,0.74,216.21,1.24,41.75,0.2401,1.39,0.008,556.46,3.2,7.23,0.0416,16.56,0.095,1.7,0.0098,23.19,0.133360628,,,,
cliff,dwarf,cd,CD8,F,cd-female,105.3,21,80,0.92,4.601,102.68,1.83,0.017822361,1.945588235,0.018948074,21.32797428,0.207713033,963.8478028,9.38690887,423.2690247,4.122214888,35.39871383,0.344747895,3291.972133,32.06049993,328.5602001,3.199846125,217.8778135,2.121910922,113.67,4.57,0.0402041,14.8,0.13020146,0.05,0.00043987,1.81,0.015923287,16.05,0.141198205,220.32,11.25,0.051062092,2.4,0.0109,4.6,0.0209,81.88,0.372,374.41,1.7,35.85,0.1627,1.23,0.0056,,,6.88,0.0312,18.43,0.084,1.33,0.006,12.68,0.057531051,,,,
cliff,dwarf,cd,CD9,F,cd-female,114.7,21.8,70,0.92,3.871,122.96,2.45,0.019925179,2.083529412,0.016944774,29.44480171,0.239466507,1670.321543,13.58426759,262.9464094,2.138471124,33.10375134,0.269223742,7848.338692,63.82838884,359.3997856,2.922900013,194.829582,1.584495625,54.98,5.33,0.096944343,18.13,0.329756275,0.01,0.000181884,1.92,0.03492179,25.16,0.457620953,133.24,9.1,0.068297808,,,5.13,0.0385,91.29,0.685,212.29,1.59,37.29,0.2799,1.12,0.0084,312.12,2.34,8.09,0.0607,18.23,0.137,,,13.65,0.102428613,,,,
cliff,normal,cn,CN1,F,cn-female,181,24.8,120,1.29,,115.56,1.906140351,0.016494811,1.780882353,0.015410889,22.77642015,0.197096055,1225.605573,10.60579416,186.1950697,1.611241517,25.61264737,0.221639385,3701.168274,32.02810898,270.4394427,2.340251321,178.2636656,1.542607006,46.96,1.89,0.040247019,17.84,0.379897785,0.01,0.000212947,1.38,0.029386712,20.84,0.443781942,121.08,6.63,0.054757185,3.36,0.0278,3.44,0.0284,74.78,0.618,332.22,2.74,38.72,0.3198,1.63,0.0134,541.7,4.47,5.16,0.0426,16.41,0.136,2.26,0.0187,18.65,0.154001447,,May be a hybrid,,
cliff,normal,cn,CN10,F,cn-female,369.1,32.5,220,2.52,2.927,158.8,2.02,0.012720403,1.554411765,0.009788487,11.59389068,0.073009387,1094.651661,6.893272424,245.7341908,1.547444526,18.1323687,0.114183682,4057.428725,25.55055872,299.14398,1.883778212,208.8745981,1.315331222,,,,,,,,,,,,293.8,7.99,0.027195371,1.72,0.0059,4.35,0.0148,53.72,0.183,509.75,1.74,42.19,0.1436,1.36,0.0046,,,5.66,0.0193,15.84,0.054,1.74,0.0059,9.75,0.033184199,,,,
cliff,normal,cn,CN11,M,cn-male,414.5,33.8,260,2.91,2.929,110.6,1.36,0.012296564,1.559558824,0.014100894,18.86848875,0.170601164,1075.755627,9.72654274,214.340836,1.937982242,13.1960343,0.119313149,3097.116827,28.00286462,252.6473741,2.284334305,140.0990354,1.266718222,,,,,,,,,,,,147.32,5.61,0.038080369,,,4.21,0.0286,53.85,0.366,338.37,2.3,38.15,0.259,1.45,0.0098,432.93,2.94,5.95,0.0404,14.97,0.102,,,13.28,0.090163985,,,,
cliff,normal,cn,CN12,F,cn-female,394.1,33.3,210,2.68,3.214,115.04,1.81,0.015733658,1.374264706,0.011945973,25.22293676,0.219253623,1112.229368,9.668196871,214.340836,1.863185292,19.64790997,0.170791985,3539.871383,30.7707874,290.6037871,2.526110806,179.1639871,1.557406007,,,,,,,,,,,,152.84,7.44,0.048678356,1.12,0.0073,3.11,0.0203,45.56,0.298,304.09,1.99,46.13,0.3018,1.15,0.0075,627.52,4.11,4.64,0.0303,15.49,0.101,2.56,0.0167,15.19,0.099404122,,,,
cliff,normal,cn,CN13,F,cn-female,361.1,32.1,190,2.67,4.087,107.52,1.54,0.014322917,1.257941176,0.011699602,23.42160772,0.217834893,1048.510182,9.751768806,198.1028939,1.842474832,25.23376206,0.234689007,3505.230439,32.60072953,269.3719185,2.505319182,185.4662379,1.724946409,,,,,,,,,,,,141.64,7.76,0.054786783,1.49,0.0105,3.21,0.0226,95.93,0.677,189.84,1.34,35.85,0.2531,1.59,0.0112,585.98,4.14,6.53,0.0461,10.37,0.073,1.95,0.0138,16.08,0.113516355,,,,
cliff,normal,cn,CN14,F,cn-female,429.5,33.7,190,3.07,3.669,102.24,1.45,0.014182316,1.142647059,0.011176125,23.05787781,0.225526974,1004.126474,9.821268329,231.6613076,2.26585786,23.62187567,0.231043385,3367.749196,32.93964394,269.7277599,2.638182315,209.7749196,2.05178912,95.78,2.61,0.027249948,15.99,0.166945082,0.22,0.00229693,1.26,0.013155147,9.57,0.099916475,133.8,9.06,0.067713004,1.44,0.0108,4.48,0.0335,99.71,0.745,303.22,2.27,45.44,0.3396,1.3,0.0097,,,6.65,0.0497,18.1,0.135,1.67,0.0125,10.26,0.076694591,,,,
cliff,normal,cn,CN15,F,cn-female,439.4,34.2,210,3.15,,109.84,1.35,0.012290605,1.688235294,0.01536995,29.51446945,0.268704201,1098.054662,9.996855991,443.8370847,4.040760057,11.82122186,0.107622195,4133.097535,37.62834609,288.350125,2.625183221,186.6366559,1.699168389,54.22,5.44,0.100331981,12,0.221320546,0.14,0.002582073,1.8,0.033198082,17.22,0.317594983,106.64,7.26,0.06807952,2.63,0.0246,4.59,0.0431,42.12,0.395,257.07,2.41,40.46,0.3794,1.32,0.0124,329.61,3.09,5.84,0.0547,13.82,0.13,,,13.11,0.122930652,Freshly dead when sampled,,,
cliff,normal,cn,CN2,F,cn-female,167.4,25.2,100,1.37,2.483,142.24,1.22,0.008577053,1.379411765,0.009697777,22.62486602,0.159061207,1056.859593,7.430115249,209.4694534,1.472648013,39.94533762,0.280830551,3445.691318,24.22448902,276.3819936,1.943068009,220.5787781,1.55075069,113.5,1.45,0.01277533,16.97,0.149515419,0.13,0.001145374,2.09,0.018414097,21.42,0.188722467,,,,,,,,,,,,,,,,,,,,,,,,,,parasites in heart,,,
cliff,normal,cn,CN3,M,cn-male,438.4,34.5,240,2.99,2.31,77.6,1.61,0.020747423,1.317647059,0.016979988,22.30010718,0.287372515,1120.139335,14.43478524,208.278671,2.684003492,18.40300107,0.237152076,3337.438371,43.00822643,252.8846016,3.258822186,191.4983923,2.467762787,105.12,3.77,0.035863775,14.98,0.142503805,0.12,0.001141553,1.92,0.01826484,20.08,0.191019787,140.76,5.925,0.042638368,1.63,0.01185,3.515,0.02555,103.86,0.7375,219.72,1.59,42.045,0.3021,1.605,0.0114,569.855,4.125,6.8,0.04895,15.625,0.1135,2.025,0.01475,21.075,0.151868582,abnormally large spleen,,,
cliff,normal,cn,CN4,F,cn-female,437.9,34.8,230,3.65,2.378,67.88,1.33,0.0195934,1.367470588,0.020145412,26.63022508,0.392313275,1202.315113,17.71236171,194.6387996,2.867395398,13.53161844,0.199346176,3713.076099,54.70059073,263.9631297,3.888673095,131.7170418,1.940439626,51.2,0.36,0.00703125,14.11,0.275585938,0.05,0.000976563,1.54,0.030078125,18,0.3515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cliff,normal,cn,CN5,M,cn-male,467.3,34.1,220,3.62,2.807,131.68,1.52,0.011543135,1.636764706,0.012429866,28.25401929,0.21456576,1168.961415,8.877288996,209.7942122,1.593212426,25.31711683,0.19226243,3453.269025,26.22470402,262.9193283,1.996653465,187.266881,1.422136095,,,,,,,,,,,,122.08,7.37,0.060370249,1.19,0.0097,4.22,0.0346,102.29,0.838,255.76,2.09,43.54,0.3566,1.81,0.0148,,,5.14,0.0421,13.75,0.113,1.73,0.0142,10.24,0.083915244,,,,
cliff,normal,cn,CN6,M,cn-male,439.3,35.4,270,2.93,2.745,94.96,0.89,0.009372367,1.389705882,0.014634645,23.51463023,0.247626687,959.7427653,10.10681092,438.7352626,4.620211274,17.3096463,0.182283554,3485.744909,36.70750747,220.6216506,2.323311401,171.6012862,1.807090209,65.16,3.19,0.048956415,14.52,0.222836096,0,0,1.73,0.026550031,16.29,0.25,139.96,7.16,0.051157474,1.78,0.0127,2.47,0.0177,46.46,0.332,257.07,1.84,37.29,0.2664,1.71,0.0122,664.15,4.75,6.51,0.0465,15.12,0.108,2.63,0.0188,17.67,0.12623037,Freshly dead when sampled,,,
cliff,normal,cn,CN7,M,cn-male,376.2,32.3,180,2.8,3.345,102.72,1.68,0.01635514,1.482352941,0.014431006,23.27438371,0.226580838,944.1425509,9.191418915,204.4356913,1.990222851,18.68445874,0.181896989,3106.859593,30.24590725,317.8849589,3.094674444,193.0289389,1.879175807,78.09,1.99,0.025483417,14.94,0.19131771,0,0,2.03,0.025995646,15.27,0.195543604,132.84,6.17,0.046446853,1.72,0.0129,4.74,0.0357,58.02,0.437,166.99,1.26,33.84,0.2547,1.29,0.0097,729.74,5.49,4.57,0.0344,14.02,0.106,2.48,0.0187,15.11,0.113716571,,,,
cliff,normal,cn,CN8,M,cn-male,356.8,33,210,1.87,2.747,121.84,1.32,0.01083388,1.636764706,0.013433722,22.31093248,0.183116649,993.1404073,8.151185221,138.5637728,1.137260118,10.83612004,0.088937295,3050.56806,25.03749228,192.1543408,1.577103913,128.0707395,1.051138702,73.62,6.67,0.09060038,14.07,0.191116544,0.06,0.000814996,1.71,0.023227384,17.62,0.239337137,,,,,,,,,,,,,,,,,,,,,,,,,,abnormally large spleen,,,
cliff,normal,cn,CN9,M,cn-male,442.6,34.3,270,3.51,3.799,127.24,1.84,0.014460861,1.483382353,0.011658145,29.33654877,0.230560742,1293.279743,10.16409732,241.4040729,1.897234147,11.77792069,0.092564608,3894.94105,30.61097964,294.8501608,2.317275706,179.3440514,1.409494274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,dwarf,ed,ED1,M,ed-male,41.1,16.9,20,0.19,5.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,dwarf,ed,ED10,M,ed-male,34.6,16.7,30,0.22,4.322,109.56,2.09,0.019076305,1.811764706,0.016536735,16.19464094,0.14781527,1148.263666,10.48068333,145.0589496,1.324013779,20.18917471,0.184275052,1883.601286,17.19241773,200.4573062,1.829657778,113.8096463,1.038788301,82.72,5.58,0.06745648,11.06,0.133704062,0,0,1.69,0.020430368,12.73,0.15389265,143.72,7.09,0.049332035,1.64,0.0114,3.54,0.0246,134.14,0.933,326.07,2.27,35.85,0.2495,1.56,0.0109,568.49,3.96,7.73,0.0538,15.43,0.107,2.01,0.014,19.14,0.133197097,near death when sampled,,,
east,dwarf,ed,ED11,M,ed-male,68.1,20.3,50,0.45,4.076,74.64,1.18,0.015809218,1.467735294,0.019664192,20.68167203,0.277085638,1301.125402,17.43201235,305.4335477,4.092089331,16.96323687,0.227267375,4142.8403,55.50429126,235.685602,3.157631324,160.2572347,2.147069061,74.46,5.11,0.068627451,11.82,0.158742949,0,0,2.03,0.02726296,13.32,0.178887994,120.16,5.43,0.045189747,0.82,0.0068,2.57,0.0214,51.83,0.431,254.44,2.12,39.31,0.3271,1.53,0.0127,677.81,5.64,7.52,0.0625,17.18,0.143,2.21,0.0184,17.88,0.14876467,,,,
east,dwarf,ed,ED12,M,ed-male,34.4,15.8,20,0.18,3.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,dwarf,ed,ED13,M,ed-male,80.3,20.8,60,0.46,2.037,139.04,1.59,0.011435558,1.602794118,0.011527576,22.58156484,0.162410564,1511.243301,10.86912616,179.5916399,1.291654487,18.87931404,0.135783329,6052.530547,43.53085836,245.5305466,1.765898638,133.2475884,0.958339963,95.26,8.38,0.087969767,15.63,0.164077262,0,0,2.05,0.02152005,21.65,0.227272727,138.08,6.59,0.047725956,1.86,0.0135,3.06,0.0222,68.68,0.497,395.5,2.86,30.13,0.2182,1.23,0.0089,705.14,5.11,4.07,0.0295,16.96,0.123,2.57,0.0186,17.1,0.12386221,,,,
east,dwarf,ed,ED14,M,ed-male,13.3,12,10,0.09,3.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,dwarf,ed,ED15,F,ed-female,53,18.6,20,0.34,,156.6,2.06,0.013154534,1.935294118,0.0123582,18.02628081,0.11511035,921.335477,5.883368308,168.8745981,1.078381852,17.21221865,0.109911996,3347.397642,21.37546387,263.9963416,1.685800393,195.8199357,1.250446588,76.92,5.22,0.067862715,13.74,0.178627145,0.29,0.003770151,2.03,0.026391056,15.89,0.206578263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,dwarf,ed,ED16,M,ed-male,18.3,13.5,10,0.11,4.167,70.76,2.35,0.033210854,1.884852941,0.026637266,18.09989282,0.255792719,1186.495177,16.76787983,140.187567,1.981169686,23.05787781,0.325860342,4714.415863,66.62543616,241.6162915,3.414588631,159.3569132,2.252076218,71.48,6.24,0.087297146,13.16,0.184107443,0,0,1.72,0.024062675,6.85,0.095831002,142,12.8,0.090140845,2.53,0.0179,3.46,0.0244,79.64,0.561,874.93,6.16,37.43,0.2636,1.58,0.0111,653.76,4.6,7.37,0.0519,16.93,0.119,2.57,0.0181,18.59,0.130897604,,,,
east,dwarf,ed,ED17,M,ed-male,54.9,18.6,40,0.4,3.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
